,KODE,NAMA BAHAN,SUMBER,Food Group,Type,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KH (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA(mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR -TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT_C (mg),Unnamed: 24
718,DR111,"Ketimun madura,
segar",KZGPI-1990,sayuran,single,97.1,9,0.5,0.1,1.9,0.7,0.4,15,102,0.6,2,78.9,0.02,0.1,0,25,0,0.02,0.02,0.1,5,89
719,DR112,"Komak, segar",KZGMI-2001,sayuran,single,74.3,99,3.3,0.1,21.2,10.3,1.1,50,99,13.1,15,567,0.2,0.6,,5,,0.2,0.19,0.1,,80
720,DR113,Kool kembang,DABM-1964,sayuran,single,91.7,25,2.4,0.2,4.9,1.6,0.8,22,72,1.1,47,187,0.04,0.3,,24,90,0.11,0.09,0.6,69,57
721,DR114,"Kool merah,kool putih",DABM-1964,sayuran,single,92.4,29,1.4,0.2,5.3,1.9,0.9,46,31,0.5,28,236.8,0.29,0.3,,46,80,0.06,0.07,0.3,50,75
722,DR115,"Koro kerupuk, polong",DABM-1964,sayuran,single,67.2,128,8.3,0.7,22.1,,1.7,17,12,2.7,,,,,,,80,0.11,,,31,68
723,DR116,"Koro wedus, polong",DABM-1964,sayuran,single,88,46,3,0.3,7.9,3.3,0.8,56,47,1.1,2,249.3,0.09,0.4,,66,870,0.09,0.09,0.5,17,70
724,DR117,"Kucai, segar",DABM-1964,sayuran,single,86.3,45,2.2,0.3,10.3,4.8,0.9,52,50,1.1,21,439.5,0.11,0.5,,2685,40,0.11,0.2,1.8,17,52
725,DR118,"Kucai muda (Lokio),
segar",DABM-1964,sayuran,single,86,42,3.8,0.6,7.8,4.9,1.8,76,91,2.5,22,449.1,0.11,0.5,,2744,500,0.11,0.2,1.8,59,100
726,DR119,Kulit melinjo,KZGPI-1990,sayuran,single,71.9,111,4.5,1.1,20.7,5,1.8,117,179,2.6,,,,,0,,1267,0.07,,,7,100
727,DR120,"Kundur, segar",KZGMI-2001,sayuran,single,94,22,0.4,0.2,4.7,1.3,0.7,3,54,0.5,2,200,0.1,0.3,,7,,0.1,0.03,0.4,1,57
728,DR121,"Labu air, segar",DABM-1964,sayuran,single,95,19,0.6,0.2,3.8,0.6,0.4,12,18,0.6,2,168.2,0.03,0.8,,11,70,0.04,0.02,0.4,10,80
729,DR122,"Labu kuning, segar",KZGMI-2001,sayuran,single,86.6,51,1.7,0.5,10,2.7,1.2,40,180,0.7,280,220,0.35,1.5,,1569,,0.2,0,0.1,2,74
730,DR123,"Labu siam, segar",DABM-1964,sayuran,single,92.3,30,0.6,0.1,6.7,6.2,0.3,14,25,0.5,3,167.1,0.16,1,,48,20,0.02,0,0.6,18,83
731,DR124,"Labu waluh, segar",DABM-1964,sayuran,single,91.2,32,1.1,0.1,6.6,0.5,1,45,64,1.4,1,356.2,0.13,0.3,,712,180,0.08,0.12,0.6,52,77
732,DR125,"Lantar, segar",KZGMI-2001,sayuran,single,91.2,34,2.2,0.3,5.5,2.9,0.8,10,58,0.4,3,155,0.2,0.4,,38,,0.3,0.07,0.4,4,
733,DR126,"Lobak, segar",DABM-1964,sayuran,single,94.1,21,0.9,0.1,4.2,1.4,0.7,35,26,0.6,49,109.3,0.03,0.2,,0,10,0.03,0.04,0.3,32,87
734,DR127,"Lumai/Leunca, segar",KZGMI-2001,sayuran,single,90.5,38,1.1,0.3,7.6,2,0.5,7,55,1,2,,0.1,0.3,,25,,0.2,0.1,0.6,17,95
735,DR128,"Melinjo, segar",DABM-1964,sayuran,single,80,66,5,0.7,13.3,,1,163,75,2.8,,,,,,,1000,0.1,,,"10
0",60
736,DR129,Mostarda metan -sawi,KZGMI-2001,sayuran,single,91.4,33,2.3,0.5,4.7,1.8,1.1,60,30,3.1,20,100,0.1,0.4,,1575,,0.2,0.1,0.1,12,85
737,DR130,"Nangka muda, segar",DABM-1964,sayuran,single,85.4,57,2,0.4,11.3,8.3,0.9,45,29,0.5,1,246.5,0.04,0.1,,21,25,0.07,0.06,0.7,9,80
